"Adrift_id","Pacific_white_sided_dolphin_detection","Sperm_whale_detection","Ship_detection"
"ADRIFT_019",44,0,26
"ADRIFT_020",41,7,17
"ADRIFT_021",21,9,9
"ADRIFT_022",38,0,0
"ADRIFT_023",52,3,9
"ADRIFT_024",44,1,21
"ADRIFT_025",51,6,26
"ADRIFT_026",25,0,0
"ADRIFT_046",46,0,13
"ADRIFT_047",38,0,23
"ADRIFT_048",59,0,30
"ADRIFT_049",37,0,27
"ADRIFT_050",30,0,24
"ADRIFT_051",34,0,21
"ADRIFT_052",33,0,20
"ADRIFT_053",35,0,24
"ADRIFT_079",36,0,3
"ADRIFT_080",14,0,2
"ADRIFT_081",19,0,3
"ADRIFT_082",25,0,1
"ADRIFT_083",21,0,9
"ADRIFT_101",22,0,5
"ADRIFT_102",5,0,3
"ADRIFT_103",0,18,8
"ADRIFT_104",0,19,5
"ADRIFT_105",3,18,5
"ADRIFT_106",0,20,3
"ADRIFT_107",3,17,4
"ADRIFT_108",8,11,3
